model,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
ddpm_v5,0029,ddpm_v5_0029.nii.gz,0.841796875,,14554,0.015618561126373626,0.9623696208000183,False
ddpm_v5,0030,ddpm_v5_0030.nii.gz,0.791015625,,8044,0.008632383241758242,0.9584401845932007,False
ddpm_v5,0031,ddpm_v5_0031.nii.gz,0.8486328125,,7315,0.007850060096153846,0.9616060853004456,False
ddpm_v5,0032,ddpm_v5_0032.nii.gz,0.8232421875,,14393,0.015445784684065935,0.9671310186386108,False
ddpm_v5,0033,ddpm_v5_0033.nii.gz,0.89013671875,,8760,0.009400755494505494,0.9625713229179382,False
ddpm_v5,0034,ddpm_v5_0034.nii.gz,0.82421875,,11705,0.01256116929945055,0.965599775314331,False
ddpm_v5,0035,ddpm_v5_0035.nii.gz,0.8369140625,,9905,0.010629507211538462,0.9634265899658203,False
ddpm_v5,0036,ddpm_v5_0036.nii.gz,0.81689453125,,19358,0.02077395260989011,0.967552661895752,False
ddpm_v5,0037,ddpm_v5_0037.nii.gz,0.84326171875,,9813,0.010530777815934067,0.9518740773200989,False
ddpm_v5,0038,ddpm_v5_0038.nii.gz,0.8994140625,,16925,0.018162989354395604,0.9661726951599121,False
ddpm_v5,0039,ddpm_v5_0039.nii.gz,0.86376953125,,7980,0.008563701923076924,0.9623701572418213,False
ddpm_v5,0040,ddpm_v5_0040.nii.gz,0.76123046875,,12920,0.013865041208791208,0.9590083956718445,False
ddpm_v5,0041,ddpm_v5_0041.nii.gz,0.78466796875,,19851,0.021303013392857142,0.9482120275497437,False
ddpm_v5,0042,ddpm_v5_0042.nii.gz,0.794921875,,13399,0.014379077953296703,0.9584836959838867,False
ddpm_v5,0043,ddpm_v5_0043.nii.gz,0.873046875,,12614,0.013536658653846154,0.9754613637924194,False
ddpm_v5,0044,ddpm_v5_0044.nii.gz,0.837890625,,13469,0.014454198145604396,0.9721598625183105,False
ddpm_v5,0045,ddpm_v5_0045.nii.gz,0.83203125,,5568,0.005975274725274725,0.9535784721374512,False
ddpm_v5,0046,ddpm_v5_0046.nii.gz,0.7998046875,,10764,0.011551339285714286,0.9638487696647644,False
ddpm_v5,0047,ddpm_v5_0047.nii.gz,0.853515625,,16112,0.01729052197802198,0.9732699990272522,False
ddpm_v5,0048,ddpm_v5_0048.nii.gz,0.87744140625,,14452,0.015509100274725275,0.9658932685852051,False
ddpm_v5,0049,ddpm_v5_0049.nii.gz,0.798828125,,10873,0.011668312156593407,0.963290274143219,False
ddpm_v5,0050,ddpm_v5_0050.nii.gz,0.822265625,,15611,0.01675287603021978,0.9654197692871094,False
ddpm_v5,0051,ddpm_v5_0051.nii.gz,0.8310546875,,11463,0.012301468063186813,0.9654061794281006,False
ddpm_v5,0052,ddpm_v5_0052.nii.gz,0.8037109375,,16126,0.017305546016483517,0.9661218523979187,False
ddpm_v5,0053,ddpm_v5_0053.nii.gz,0.87548828125,,8015,0.00860126201923077,0.9789709448814392,False
ddpm_v5,0054,ddpm_v5_0054.nii.gz,0.60009765625,,7855,0.008429558722527472,0.9595715403556824,False
