dataset,filename,valid_shape,all_finite,within_0_1,min,max,mean,std
real,real_0088.nii.gz,True,True,True,0.0,1.0,0.05894181504845619,0.14128029346466064
real,real_0089.nii.gz,True,True,True,0.0,1.0,0.0886237844824791,0.19788868725299835
real,real_0090.nii.gz,True,True,True,0.0,1.0,0.06497552990913391,0.15433375537395477
real,real_0091.nii.gz,True,True,True,0.0,1.0,0.047628894448280334,0.10603459924459457
real,real_0092.nii.gz,True,True,True,0.0,1.0,0.05391187593340874,0.11034947633743286
real,real_0093.nii.gz,True,True,True,0.0,1.0,0.08062271028757095,0.16724421083927155
real,real_0094.nii.gz,True,True,True,0.0,1.0,0.08571511507034302,0.18997184932231903
real,real_0095.nii.gz,True,True,True,0.0,1.0,0.0708010345697403,0.15121328830718994
real,real_0096.nii.gz,True,True,True,0.0,1.0,0.09840144217014313,0.21885880827903748
real,real_0097.nii.gz,True,True,True,0.0,1.0,0.0657108798623085,0.14029528200626373
real,real_0098.nii.gz,True,True,True,0.0,1.0,0.06969841569662094,0.13823992013931274
real,real_0099.nii.gz,True,True,True,0.0,1.0,0.04284859076142311,0.09809461236000061
real,real_0100.nii.gz,True,True,True,0.0,1.0,0.0886814296245575,0.18010367453098297
real,real_0101.nii.gz,True,True,True,0.0,1.0,0.09789477288722992,0.23801134526729584
real,real_0102.nii.gz,True,True,True,0.0,1.0,0.06359903514385223,0.13077867031097412
real,real_0103.nii.gz,True,True,True,0.0,1.0,0.09432124346494675,0.1926204264163971
real,real_0104.nii.gz,True,True,True,0.0,1.0,0.08642774075269699,0.1854182332754135
real,real_0105.nii.gz,True,True,True,0.0,1.0,0.06666699051856995,0.1586669385433197
real,real_0106.nii.gz,True,True,True,0.0,1.0,0.07317448407411575,0.16544729471206665
real,real_0107.nii.gz,True,True,True,0.0,1.0,0.08557479083538055,0.17952607572078705
real,real_0108.nii.gz,True,True,True,0.0,1.0,0.1120682880282402,0.2224389612674713
real,real_0109.nii.gz,True,True,True,0.0,1.0,0.08133608847856522,0.1657741665840149
real,real_0110.nii.gz,True,True,True,0.0,1.0,0.10850172489881516,0.22295258939266205
real,real_0111.nii.gz,True,True,True,0.0,1.0,0.08225865662097931,0.18535546958446503
real,real_0112.nii.gz,True,True,True,0.0,1.0,0.08008331805467606,0.19074556231498718
real,real_0113.nii.gz,True,True,True,0.0,1.0,0.032207418233156204,0.08401607722043991
real,real_0114.nii.gz,True,True,True,0.0,1.0,0.0717734694480896,0.15985029935836792
real,real_0115.nii.gz,True,True,True,0.0,1.0,0.09626025706529617,0.18810178339481354
real,real_0116.nii.gz,True,True,True,0.0,1.0,0.07052269577980042,0.14877526462078094
real,real_0117.nii.gz,True,True,True,0.0,1.0,0.07168424874544144,0.16435746848583221
real,real_0118.nii.gz,True,True,True,0.0,1.0,0.10314805805683136,0.20794998109340668
real,real_0119.nii.gz,True,True,True,0.0,1.0,0.0659872442483902,0.14310184121131897
real,real_0120.nii.gz,True,True,True,0.0,1.0,0.08859220892190933,0.18074308335781097
real,real_0121.nii.gz,True,True,True,0.0,1.0,0.0897662341594696,0.17895565927028656
real,real_0122.nii.gz,True,True,True,0.0,1.0,0.081170454621315,0.17711225152015686
real,real_0123.nii.gz,True,True,True,0.0,1.0,0.10017066448926926,0.21904268860816956
real,real_0124.nii.gz,True,True,True,0.0,1.0,0.04868597164750099,0.10486400127410889
real,real_0125.nii.gz,True,True,True,0.0,1.0,0.045956555753946304,0.09702382981777191
real,real_0126.nii.gz,True,True,True,0.0,1.0,0.07563906162977219,0.18121948838233948
real,real_0127.nii.gz,True,True,True,0.0,1.0,0.11609891057014465,0.23849305510520935
real,real_0128.nii.gz,True,True,True,0.0,1.0,0.08104870468378067,0.1792151778936386
real,real_0129.nii.gz,True,True,True,0.0,1.0,0.06773815304040909,0.17921075224876404
real,real_0130.nii.gz,True,True,True,0.0,1.0,0.06934133917093277,0.1592315286397934
real,real_0131.nii.gz,True,True,True,0.0,1.0,0.0815390795469284,0.17500755190849304
real,real_0132.nii.gz,True,True,True,0.0,1.0,0.059492651373147964,0.14164994657039642
real,real_0133.nii.gz,True,True,True,0.0,1.0,0.11650393903255463,0.24159370362758636
real,real_0134.nii.gz,True,True,True,0.0,1.0,0.11177453398704529,0.2391548603773117
real,real_0135.nii.gz,True,True,True,0.0,1.0,0.07665814459323883,0.1720689982175827
real,real_0136.nii.gz,True,True,True,0.0,1.0,0.0728679969906807,0.1658582240343094
real,real_0137.nii.gz,True,True,True,0.0,1.0,0.07706780731678009,0.1761905550956726
real,real_0138.nii.gz,True,True,True,0.0,1.0,0.062380384653806686,0.15208004415035248
real,real_0139.nii.gz,True,True,True,0.0,1.0,0.08836076408624649,0.20046719908714294
real,real_0140.nii.gz,True,True,True,0.0,1.0,0.09409116208553314,0.19801288843154907
real,real_0141.nii.gz,True,True,True,0.0,1.0,0.09050565958023071,0.18917956948280334
real,real_0142.nii.gz,True,True,True,0.0,1.0,0.06741224229335785,0.14293402433395386
real,real_0143.nii.gz,True,True,True,0.0,1.0,0.08716880530118942,0.1721743941307068
real,real_0144.nii.gz,True,True,True,0.0,1.0,0.06705576181411743,0.16336555778980255
real,real_0145.nii.gz,True,True,True,0.0,1.0,0.06609953194856644,0.1502494513988495
real,real_0146.nii.gz,True,True,True,0.0,1.0,0.09760540723800659,0.19995518028736115
real,real_0147.nii.gz,True,True,True,0.0,1.0,0.11438784003257751,0.2219514399766922
real,real_0148.nii.gz,True,True,True,0.0,1.0,0.040845733135938644,0.1005033627152443
real,real_0149.nii.gz,True,True,True,0.0,1.0,0.05345740169286728,0.1186189353466034
real,real_0150.nii.gz,True,True,True,0.0,1.0,0.07817544788122177,0.17240126430988312
real,real_0151.nii.gz,True,True,True,0.0,1.0,0.09540726989507675,0.20449061691761017
real,real_0152.nii.gz,True,True,True,0.0,1.0,0.07950912415981293,0.1598149836063385
real,real_0153.nii.gz,True,True,True,0.0,1.0,0.06237715855240822,0.14231044054031372
real,real_0154.nii.gz,True,True,True,0.0,1.0,0.07423226535320282,0.1666083037853241
real,real_0155.nii.gz,True,True,True,0.0,1.0,0.12380591779947281,0.23765654861927032
real,real_0156.nii.gz,True,True,True,0.0,1.0,0.07811648398637772,0.1631709486246109
real,real_0157.nii.gz,True,True,True,0.0,1.0,0.08795226365327835,0.18438969552516937
real,real_0158.nii.gz,True,True,True,0.0,1.0,0.07187794893980026,0.15196262300014496
real,real_0159.nii.gz,True,True,True,0.0,1.0,0.05850496143102646,0.1315850019454956
real,real_0160.nii.gz,True,True,True,0.0,1.0,0.09193482249975204,0.18901129066944122
real,real_0161.nii.gz,True,True,True,0.0,1.0,0.12452486157417297,0.2401406466960907
real,real_0162.nii.gz,True,True,True,0.0,1.0,0.09640751034021378,0.20622098445892334
real,real_0163.nii.gz,True,True,True,0.0,1.0,0.10237262398004532,0.1987970471382141
real,real_0164.nii.gz,True,True,True,0.0,1.0,0.08176577836275101,0.17909444868564606
real,real_0165.nii.gz,True,True,True,0.0,1.0,0.06547830253839493,0.1467837244272232
real,real_0166.nii.gz,True,True,True,0.0,1.0,0.06249329447746277,0.14150559902191162
real,real_0167.nii.gz,True,True,True,0.0,1.0,0.057998985052108765,0.13301308453083038
real,real_0168.nii.gz,True,True,True,0.0,1.0,0.11241844296455383,0.2403302937746048
real,real_0169.nii.gz,True,True,True,0.0,1.0,0.0892910286784172,0.19470977783203125
real,real_0170.nii.gz,True,True,True,0.0,1.0,0.11896753311157227,0.237923726439476
real,real_0171.nii.gz,True,True,True,0.0,1.0,0.09486014395952225,0.20170477032661438
