synthetic_index,synthetic_identifier,authentic,nearest_training_index,nearest_training_identifier,synthetic_nearest_distance,training_nn_radius
115,ddpm_v5_0115.nii.gz,True,315,BraTS-GLI-00063-000,10.541782291540173,6.416562038474917
116,ddpm_v5_0116.nii.gz,True,652,BraTS-GLI-00053-001,11.296253259596549,9.247470791923496
117,ddpm_v5_0117.nii.gz,False,652,BraTS-GLI-00053-001,8.22162395518949,9.247470791923496
118,ddpm_v5_0118.nii.gz,False,691,BraTS-GLI-01532-000,9.048526798215303,9.862648372624564
119,ddpm_v5_0119.nii.gz,True,417,BraTS-GLI-00026-000,8.339961075740733,4.394664037302573
120,ddpm_v5_0120.nii.gz,True,571,BraTS-GLI-00072-000,9.12318897295732,5.438514198093239
121,ddpm_v5_0121.nii.gz,True,216,BraTS-GLI-01160-000,9.732219483068791,5.7512024919101234
122,ddpm_v5_0122.nii.gz,True,417,BraTS-GLI-00026-000,11.624203698387653,4.394664037302573
123,ddpm_v5_0123.nii.gz,True,288,BraTS-GLI-01389-000,10.042924340996976,6.9423989689923085
124,ddpm_v5_0124.nii.gz,True,102,BraTS-GLI-00568-000,9.188065048906283,5.150180698565712
125,ddpm_v5_0125.nii.gz,True,102,BraTS-GLI-00568-000,9.111778017539633,5.150180698565712
126,ddpm_v5_0126.nii.gz,True,292,BraTS-GLI-00032-000,11.095634935462519,8.629450153753266
127,ddpm_v5_0127.nii.gz,True,927,BraTS-GLI-01019-000,6.380969455524181,4.2606696013039285
128,ddpm_v5_0128.nii.gz,True,683,BraTS-GLI-00036-001,10.224226784804683,7.975253525191843
129,ddpm_v5_0129.nii.gz,True,102,BraTS-GLI-00568-000,6.064068772810295,5.150180698565712
130,ddpm_v5_0130.nii.gz,False,652,BraTS-GLI-00053-001,5.3559004787990085,9.247470791923496
131,ddpm_v5_0131.nii.gz,True,172,BraTS-GLI-01663-000,9.652549150995043,8.03188084319579
132,ddpm_v5_0132.nii.gz,True,927,BraTS-GLI-01019-000,7.276966361598912,4.2606696013039285
133,ddpm_v5_0133.nii.gz,True,652,BraTS-GLI-00053-001,10.585743278164701,9.247470791923496
134,ddpm_v5_0134.nii.gz,True,856,BraTS-GLI-00751-000,7.9616406248741205,6.447031689910758
135,ddpm_v5_0135.nii.gz,True,652,BraTS-GLI-00053-001,11.424752410490477,9.247470791923496
